PotID,Treatment,SpPresent,WeighedSp,Weight_g,DateWeighed,InitialsWeighed,DateSorted,InitialsSorted,Notes
1,None,Mv,Mv,47.24,20181101,AK,20180905,CS,
1,None,Ev,Ev,7.66,20181101,AK,20181003,PR,
1,None,Ev+Mv,Mv,31.81,20181104,AK,20180918,PR,
1,None,Ev+Mv,Ev,1.28,20181104,AK,20180918,PR,
1,Low,Mv,Mv,41.39,20181008,AK,20180907,PR,
1,Low,Ev,Ev,6.63,20181011,AK,20180920,DN,
1,Low,Ev+Mv,Mv,29.67,20181101,AK,20180906,ZC,
1,Low,Ev+Mv,Ev,0.57,20181101,AK,20180906,ZC,
1,Med,Mv,Mv,32.28,20181101,AK,20180822,AK,
1,Med,Ev,Ev,6.75,20181101,AK,20181004,PR,
1,Med,Ev+Mv,Mv,24.3,20181011,AK,20180920,PR,
1,Med,Ev+Mv,Ev,0.85,20181011,AK,20180920,PR,
1,High,Mv,Mv,34.19,20181101,AK,20180901,PR,
1,High,Ev,Ev,7.39,20181011,AK,20180919,,
1,High,Ev+Mv,Mv,32.06,20181008,AK,20180912,PR,
1,High,Ev+Mv,Ev,0.84,20181008,AK,20180912,PR,
1,Shade,Mv,Mv,11.66,20181104,AK,20180918,PR,
2,None,Mv,Mv,36.55,20181104,AK,20180917,DN,
2,None,Ev,Ev,5.47,20181011,AK,20181003,,
2,None,Ev+Mv,Mv,33.04,20181011,AK,20180918,,
2,None,Ev+Mv,Ev,1.22,20181011,AK,20180918,,
2,Low,Mv,Mv,37.55,20181104,AK,20180914,PR,
2,Low,Ev,Ev,4,20181011,AK,20180905,DN,
2,Low,Ev+Mv,Mv,32.56,20181008,AK,20180906,DN,
2,Low,Ev+Mv,Ev,0.37,20181008,AK,20180906,DN,
2,Med,Mv,Mv,41.93,20181008,AK,20180827,PR+DN,
2,Med,Ev,Ev,6.32,20181104,AK,20180914,PR,
2,Med,Ev+Mv,Mv,37.02,20181011,AK,20180919,,
2,Med,Ev+Mv,Ev,0.68,20181011,AK,20180919,,
2,High,Mv,Mv,32.84,20181101,AK,20180904,PR,
2,High,Ev,Ev,4.4,20181101,AK,20181004,PR,
2,High,Ev+Mv,Mv,31.46,20181008,AK,20180907,PR,
2,High,Ev+Mv,Ev,0.96,20181008,AK,20180907,PR,
2,Shade,Mv,Mv,14.74,20181008,AK,20180910,PR,
3,None,Mv,Mv,32.96,20181101,AK,20180822,AK,
3,None,Ev,Ev,5.49,20181008,AK,20180910,PR,
3,None,Ev+Mv,Mv,27.08,20181008,AK,20180911,PR,
3,None,Ev+Mv,Ev,1.28,20181008,AK,20180911,PR,
3,Low,Mv,Mv,38.53,20181104,AK,20180918,PR,
3,Low,Ev,Ev,3.38,20181008,AK,20180913,PR,
3,Low,Ev+Mv,Mv,33.58,20181011,AK,20180920,PR,
3,Low,Ev+Mv,Ev,0.4,20181011,AK,20180920,PR,
3,Med,Mv,Mv,36.12,20181104,AK,20180917,DN,
3,Med,Ev,Ev,4.83,20181101,AK,20181003,PR,
3,Med,Ev+Mv,Mv,34.86,20181008,AK,20180910,PR,
3,Med,Ev+Mv,Ev,0.9,20181008,AK,20180910,PR,
3,High,Mv,Mv,25.07,20181101,AK,20180829,PR,
3,High,Ev,Ev,6.95,20181104,AK,20180917,PR,
3,High,Ev+Mv,Mv,26.23,20181104,AK,20180822,AK,has some mold
3,High,Ev+Mv,Ev,1.06,20181101,AK,20180822,AK,
3,Shade,Mv,Mv,NA,NA,NA,NA,NA,intentionally not measured
4,None,Mv,Mv,46.4,20181008,AK,20180907,PR,
4,None,Ev,Ev,4.37,20181011,AK,20180921,PR,
4,None,Ev+Mv,Mv,36.66,20181008,AK,20180911,PR,
4,None,Ev+Mv,Ev,1.14,20181008,AK,20180911,PR,
4,Low,Mv,Mv,44.31,20181011,AK,20180910,DN,
4,Low,Ev,Ev,5.98,20181011,AK,20180919,PR,
4,Low,Ev+Mv,Mv,27.08,20181101,AK,20180822,AK,
4,Low,Ev+Mv,Ev,0.67,20181101,AK,20180822,AK,has some mold
4,Med,Mv,Mv,43.11,20181104,AK,20180918,PR,
4,Med,Ev,Ev,5.37,20181104,AK,20180917,PR,
4,Med,Ev+Mv,Mv,29.36,20181104,AK,20180914,,
4,Med,Ev+Mv,Ev,0.19,20181104,AK,20180914,,
4,High,Mv,Mv,28.26,20181101,AK,20180901,PR,
4,High,Ev,Ev,6.14,20181101,AK,20181004,PR,
4,High,Ev+Mv,Mv,26.67,20181011,AK,20180909,ZC,
4,High,Ev+Mv,Ev,0.82,20181011,AK,20180909,ZC,
4,Shade,Mv,Mv,14.46,20181008,AK,20180910,DN,
5,None,Mv,Mv,30.35,20181011,AK,20180920,PR,
5,None,Ev,Ev,9.23,20181101,AK,20181004,PR,
5,None,Ev+Mv,Mv,29.59,20181104,AK,20180914,PR,
5,None,Ev+Mv,Ev,1.14,20181104,AK,20180914,PR,
5,Low,Mv,Mv,37.68,20181104,AK,20180912,PR,
5,Low,Ev,Ev,4.44,20181104,AK,20181003,,
5,Low,Ev+Mv,Mv,33.75,20181101,AK,20180822,AK,
5,Low,Ev+Mv,Ev,0.73,20181101,AK,20180822,AK,
5,Med,Mv,Mv,32.82,20181008,AK,20180907,PR,
5,Med,Ev,Ev,5.65,20181104,AK,20180917,PR,
5,Med,Ev+Mv,Mv,29.61,20181008,AK,20180911,PR,
5,Med,Ev+Mv,Ev,1.29,20181008,AK,20180911,PR,
5,High,Mv,Mv,36.4,20181101,AK,20180831,AK,
5,High,Ev,Ev,4.28,20181011,AK,20181003,PR,
5,High,Ev+Mv,Mv,34.88,20181101,AK,20180901,ZC,
5,High,Ev+Mv,Ev,1.06,20181101,AK,20180901,ZC,
5,Shade,Mv,Mv,12.04,20181104,AK,20180910,DN,
6,None,Mv,Mv,29.2,20181104,AK,20180919,PR,
6,None,Ev,Ev,7.62,20181011,AK,20180919,,
6,None,Ev+Mv,Mv,34.86,20181104,AK,20180914,,
6,None,Ev+Mv,Ev,0.98,20181104,AK,20180914,,
6,Low,Mv,Mv,29.7,20181011,AK,20180920,PR,
6,Low,Ev,Ev,7.42,20181104,AK,20181005,PR,
6,Low,Ev+Mv,Mv,33.83,20181101,AK,20180903,PR,
6,Low,Ev+Mv,Ev,0.7,20181101,AK,20180903,PR,
6,Med,Mv,Mv,34.59,20181101,AK,20180822,AK,
6,Med,Ev,Ev,5.09,20181011,AK,20180918,,
6,Med,Ev+Mv,Mv,32.88,20181104,AK,20180914,PR,
6,Med,Ev+Mv,Ev,1.43,20181104,AK,20180914,PR,
6,High,Mv,Mv,31.62,20181104,AK,20180917,PR,
6,High,Ev,Ev,5.29,20181104,AK,20180919,,
6,High,Ev+Mv,Mv,27.34,20181104,AK,20180822,AK,has some mold
6,High,Ev+Mv,Ev,0.57,20181101,AK,20180822,AK,
6,Shade,Mv,Mv,14.43,20181101,AK,20180901,ZC,